date,avg_price,open_price,max_price,min_prie,close_price,last_price,coef,lsp,change,buys,sells,deals,number,volume,currency,ISIN
2023-02-10,4.2670155,4.3,4.326,4.216,4.3,4.216,1,4.216,-1.95,4.216,4.216,1294.0,150556.0,642424.786,EUR,EE3100137985
2023-02-13,4.26955668,4.236,4.33,4.222,4.216,4.312,1,4.312,2.28,4.312,4.312,796.0,83728.0,357481.442,EUR,EE3100137985
2023-02-14,4.31926374,4.304,4.34,4.304,4.312,4.306,1,4.306,-0.14,4.306,4.306,622.0,70921.0,306326.504,EUR,EE3100137985
2023-02-15,4.28464396,4.3,4.306,4.272,4.306,4.276,1,4.276,-0.7,4.276,4.276,689.0,54733.0,234511.418,EUR,EE3100137985
2023-02-16,4.30964044,4.286,4.322,4.286,4.276,4.314,1,4.314,0.89,4.314,4.314,358.0,17872.0,77021.894,EUR,EE3100137985
2023-02-17,4.30291168,4.314,4.318,4.296,4.314,4.304,1,4.304,-0.23,4.304,4.304,480.0,52672.0,226642.964,EUR,EE3100137985
2023-02-20,4.30737169,4.304,4.32,4.302,4.304,4.306,1,4.306,0.05,4.306,4.306,427.0,38051.0,163899.8,EUR,EE3100137985
2023-02-21,4.30369407,4.31,4.314,4.298,4.306,4.304,1,4.304,-0.05,4.304,4.304,350.0,28118.0,121011.27,EUR,EE3100137985
2023-02-22,4.29946071,4.3,4.306,4.286,4.304,4.3,1,4.3,-0.09,4.296,4.3,319.0,22956.0,98698.42,EUR,EE3100137985
2023-02-23,4.32116894,4.3,4.336,4.298,4.3,4.322,1,4.322,0.51,4.322,4.322,308.0,28258.0,122107.592,EUR,EE3100137985
2023-02-24,,4.322,,,4.322,4.322,1,4.322,,,,,,,EUR,EE3100137985
2023-02-27,4.35412048,4.338,4.37,4.332,4.322,4.364,1,4.364,0.97,4.364,4.364,418.0,41865.0,182285.254,EUR,EE3100137985
2023-02-28,4.39022113,4.364,4.406,4.362,4.364,4.402,1,4.402,0.87,4.402,4.402,563.0,66123.0,290294.592,EUR,EE3100137985
2023-03-01,4.44134518,4.43,4.46,4.412,4.402,4.444,1,4.444,0.95,4.444,4.444,1015.0,167059.0,741966.684,EUR,EE3100137985
2023-03-02,4.41976272,4.45,4.46,4.4,4.444,4.41,1,4.41,-0.77,4.41,4.41,640.0,75869.0,335322.978,EUR,EE3100137985
2023-03-03,4.43328753,4.426,4.45,4.412,4.41,4.43,1,4.43,0.45,4.43,4.43,578.0,112476.0,498638.448,EUR,EE3100137985
2023-03-06,4.45157865,4.442,4.46,4.44,4.43,4.45,1,4.45,0.45,4.45,4.45,517.0,64711.0,288066.106,EUR,EE3100137985
2023-03-07,4.45028269,4.456,4.456,4.444,4.45,4.45,1,4.45,,4.45,4.45,448.0,63277.0,281600.538,EUR,EE3100137985
2023-03-08,4.44238087,4.452,4.452,4.434,4.45,4.444,1,4.444,-0.13,4.444,4.444,474.0,41290.0,183425.906,EUR,EE3100137985
2023-03-09,4.44962601,4.45,4.452,4.446,4.444,4.452,1,4.452,0.18,4.452,4.452,344.0,30081.0,133849.2,EUR,EE3100137985
2023-03-10,4.42860243,4.45,4.45,4.412,4.452,4.432,1,4.432,-0.45,4.432,4.432,706.0,68838.0,304856.134,EUR,EE3100137985
2023-03-13,4.36599747,4.42,4.42,4.32,4.432,4.336,1,4.336,-2.17,4.336,4.336,1322.0,146484.0,639548.774,EUR,EE3100137985
2023-03-14,4.35713673,4.336,4.41,4.332,4.336,4.406,1,4.406,1.61,4.406,4.406,746.0,91556.0,398922.01,EUR,EE3100137985
2023-03-15,4.39373386,4.428,4.43,4.352,4.406,4.38,1,4.38,-0.59,4.38,4.38,568.0,33899.0,148943.184,EUR,EE3100137985
2023-03-16,4.38131933,4.382,4.398,4.352,4.38,4.386,1,4.386,0.14,4.386,4.386,407.0,27608.0,120959.464,EUR,EE3100137985
2023-03-17,4.39932458,4.39,4.414,4.39,4.386,4.398,1,4.398,0.27,4.398,4.398,364.0,40514.0,178234.236,EUR,EE3100137985
2023-03-20,4.38029103,4.39,4.398,4.37,4.398,4.378,1,4.378,-0.45,4.378,4.378,445.0,33103.0,145000.774,EUR,EE3100137985
2023-03-21,4.3765497,4.372,4.39,4.37,4.378,4.37,1,4.37,-0.18,4.37,4.37,451.0,36864.0,161337.128,EUR,EE3100137985
2023-03-22,4.38517483,4.38,4.41,4.37,4.37,4.388,1,4.388,0.41,4.388,4.388,411.0,68631.0,300958.934,EUR,EE3100137985
2023-03-23,4.37428187,4.382,4.384,4.366,4.388,4.372,1,4.372,-0.36,4.372,4.372,320.0,48816.0,213534.944,EUR,EE3100137985
2023-03-24,4.36763386,4.374,4.374,4.36,4.372,4.368,1,4.368,-0.09,4.368,4.368,310.0,33790.0,147582.348,EUR,EE3100137985
2023-03-27,4.36931027,4.37,4.372,4.366,4.368,4.37,1,4.37,0.05,4.37,4.37,303.0,48674.0,212671.808,EUR,EE3100137985
2023-03-28,4.37150095,4.37,4.4,4.352,4.37,4.4,1,4.4,0.69,4.4,4.4,364.0,86364.0,377540.308,EUR,EE3100137985
2023-03-29,4.38167979,4.392,4.396,4.362,4.4,4.394,1,4.394,-0.14,4.394,4.396,306.0,36957.0,161933.74,EUR,EE3100137985
2023-03-30,4.40337969,4.396,4.42,4.394,4.394,4.404,1,4.404,0.23,4.404,4.404,376.0,84013.0,369941.138,EUR,EE3100137985
2023-03-31,4.40773074,4.408,4.414,4.4,4.404,4.402,1,4.402,-0.05,4.402,4.402,341.0,28567.0,125915.644,EUR,EE3100137985
2023-04-03,4.42396425,4.41,4.436,4.408,4.402,4.43,1,4.43,0.64,4.43,4.43,422.0,43408.0,192035.44,EUR,EE3100137985
2023-04-04,4.46309747,4.444,4.542,4.44,4.43,4.54,1,4.54,2.48,4.54,4.54,736.0,91436.0,408087.78,EUR,EE3100137985
2023-04-05,4.55519376,4.55,4.59,4.53,4.54,4.59,1,4.59,1.1,4.59,4.59,849.0,60922.0,277511.514,EUR,EE3100137985
2023-04-06,4.6559307,4.6,4.7,4.6,4.59,4.69,1,4.69,2.18,4.69,4.69,1122.0,140634.0,654782.158,EUR,EE3100137985
2023-04-11,4.6519083,4.7,4.7,4.59,4.69,4.666,1,4.666,-0.51,4.666,4.666,1172.0,132980.0,618610.766,EUR,EE3100137985
2023-04-12,4.69769673,4.7,4.726,4.68,4.666,4.694,1,4.694,0.6,4.694,4.694,640.0,66093.0,310484.87,EUR,EE3100137985
2023-04-13,4.69940012,4.7,4.714,4.68,4.694,4.7,1,4.7,0.13,4.7,4.7,469.0,35247.0,165639.756,EUR,EE3100137985
2023-04-14,4.69268841,4.706,4.706,4.684,4.7,4.694,1,4.694,-0.13,4.694,4.694,446.0,35621.0,167158.254,EUR,EE3100137985
2023-04-17,4.68677365,4.694,4.698,4.68,4.694,4.688,1,4.688,-0.13,4.688,4.688,426.0,24626.0,115416.488,EUR,EE3100137985
2023-04-18,4.68637079,4.694,4.694,4.68,4.688,4.688,1,4.688,,4.688,4.688,429.0,38102.0,178560.1,EUR,EE3100137985
2023-04-19,4.69071338,4.688,4.696,4.682,4.688,4.688,1,4.688,,4.688,4.688,327.0,41546.0,194880.378,EUR,EE3100137985
2023-04-20,4.68886761,4.688,4.698,4.682,4.688,4.698,1,4.698,0.21,4.698,4.698,306.0,40712.0,190893.178,EUR,EE3100137985
2023-04-21,4.68183141,4.698,4.7,4.67,4.698,4.676,1,4.676,-0.47,4.676,4.676,373.0,30606.0,143292.132,EUR,EE3100137985
2023-04-24,4.6592028,4.674,4.676,4.644,4.676,4.66,1,4.66,-0.34,4.66,4.662,515.0,36962.0,172213.454,EUR,EE3100137985
2023-04-25,4.66207108,4.654,4.67,4.652,4.66,4.662,1,4.662,0.04,4.662,4.662,353.0,27689.0,129088.086,EUR,EE3100137985
2023-04-26,4.66524599,4.65,4.68,4.65,4.662,4.68,1,4.68,0.39,4.68,4.68,414.0,97572.0,455197.382,EUR,EE3100137985
2023-04-27,4.68716853,4.684,4.696,4.68,4.68,4.686,1,4.686,0.13,4.686,4.686,351.0,28689.0,134470.178,EUR,EE3100137985
2023-04-28,4.69029239,4.686,4.696,4.684,4.686,4.688,1,4.688,0.04,4.688,4.688,411.0,31198.0,146327.742,EUR,EE3100137985
2023-05-02,4.70116689,4.692,4.72,4.692,4.688,4.702,1,4.702,0.3,4.702,4.702,585.0,72600.0,341304.716,EUR,EE3100137985
2023-05-03,4.69780203,4.692,4.704,4.688,4.702,4.704,1,4.704,0.04,4.704,4.704,588.0,84770.0,398232.678,EUR,EE3100137985
