station_name,station_id
HOTING,022420-99999
JUNSELE,022430-99999
VILHELMINA,022450-99999
KRANGEDE,022470-99999
ASELE,022540-99999
KRAMFORS SOLLEFTEA,022590-99999
VASTMARKUM,022600-99999
LYCKSELE,022610-99999
VUOGGATJALME,022620-99999
HEMLING,022650-99999
ORNSKOLDSVIK,022670-99999
SKAGSUDDE,022690-99999
NORSJO,022710-99999
PETISTRASK,022820-99999
JARNASKLUBB,022840-99999
UMEA,022860-99999
HOLMON,022870-99999
HOLMOGADD,022880-99999
SKELLEFTEA,022930-99999
BJUROKLUBB (LGT-H),022960-99999
BJUROKLUBB,022970-99999
RORBACKSNAS,023060-99999
IDRE FJALL,023070-99999
TANNAS,023080-99999
STORSJO KAPELL,023100-99999
SARNA,023160-99999
DRAVAGEN,023170-99999
BORTNAN,023190-99999
ALVDALEN,023210-99999
SVEG,023240-99999
KLOVSJOHOJDEN,023250-99999
FREDRIKA,023260-99999
HAMRA,023290-99999
HUNGE,023310-99999
NORRHOG,023370-99999
EDSBYN,023380-99999
FRANSTA,023420-99999
TORPSHAMMAR,023430-99999
DELSBO,023470-99999
KUGGOREN,023550-99999
SUNDSVALL HARNOSAND,023660-99999
BRAMON,023680-99999
SODERHAMN (SWE-AFB),023760-99999
LUNGO,023820-99999
OSTMARK,024000-99999
NAVEN,024030-99999
ARVIKA,024040-99999
BLOMSKOG,024080-99999
MALUNG,024100-99999
GUSTAVSFORS,024120-99999
KARLSTAD,024180-99999
SUNNE,024230-99999
ATORP,024280-99999
OREBRO,024283-99999
DAGLOSEN,024290-99999
BORLANGE,024350-99999
AMOT,024400-99999
MORA,024410-99999
ENKOPING,024430-99999
FOLKARNA,024440-99999
VASTERAS,024460-99999
ESKILSTUNA A,024490-99999
EGGEGRUND,024500-99999
KILSBERGEN-SUTTARBODA,024520-99999
GAVLE/SANDVIKEN AIR FORCE BAS,024530-99999
FILM,024560-99999
UPPSALA,024580-99999
ARLANDA,024600-99999
BROMMA,024640-99999
STORA SPANSBERGET,024680-99999
TULLINGE,024690-99999
SINGO ISLAND,024740-99999
FLODA,024760-99999
SALA,024810-99999
KERSTINBO,024820-99999
STOCKHOLM/OBSERVATORIET,024840-99999
SKAVSTA,024853-99999
ADELSO,024860-99999
SKARPO A,024870-99999
ORSKAR,024880-99999
BERGA,024890-99999
SVANBERGA,024900-99999
SODERARM,024930-99999
SVENSKA HOGARNA,024960-99999
NORDKOSTER,025000-99999
MASESKAR,025050-99999
MASESKAR (LGT-H),025080-99999
TROLLHATTAN VANERSBORG,025103-99999
SAVE,653350-99999
GOTEBORG,025130-99999
VINGA,025160-99999
NIDINGEN,025180-99999
SATENAS,025200-99999
MOLLA,025240-99999
LANDVETTER,025260-99999
NASHUVUD,025300-99999
SKOVDE,025350-99999
RANGEDALA,025360-99999
ULLARED,025390-99999
KROPPEFJALL-GRANAN,025400-99999
HALLUM,025420-99999
KARLSBORG,025440-99999
GARDSJO,025460-99999
VISINGSO,025480-99999
TOMTABACKEN,025490-99999
JONKOPING,025500-99999
MALEXANDER,025520-99999
KETTSTAKA,025540-99999
NASSJO,025550-99999
HAGSHULT,025560-99999
HORN,025570-99999
KOLMARDEN-STROMSFORS,025580-99999
MALMEN,025620-99999
SAAB,025625-99999
HARSTENA,025630-99999
ANGELHOLM,025635-99999
HULTSFRED,025650-99999
MALILLA,025660-99999
NORRKOPING/BRAVALLA,025700-99999
KUNGSANGEN,025710-99999
NORRKOPING,025740-99999
GLADHAMMAR,025760-99999
LANDSORT (LGT-H),025820-99999
GOTSKA SANDON,025840-99999
FAROSUND-AR,025870-99999
FARO ISLAND,025880-99999
VISBY,025900-99999
OLANDS NORRA UDDE,025920-99999
OSTERGARNSHOLM,025980-99999
HALMSTAD,026040-99999
HALLANDS VADERO,026050-99999
KULLEN (LGT-H),026060-99999
ANGELHOLM/BARKAKRA,026070-99999
HELSINGBORG,026110-99999
FALSTERBO,026160-99999
TORUP,026180-99999
LJUNGBY,026220-99999
HORBY,026230-99999
SKILLINGE,026250-99999
OSBY,026260-99999
HANO,026280-99999
UTKLIPPAN,026320-99999
MALMO,026350-99999
STURUP,026360-99999
VAXJO/URASA(SAFB),026400-99999
KRONOBERG,026410-99999
OLANDS SODRA UDDE,026440-99999
VAXJO,026480-99999
HANO ISLAND (LGT-H),026500-99999
KRISTIANSTAD,026510-99999
KOSTA (ORREFORS),026610-99999
RONNEBY,026640-99999
UNGSKAR,026660-99999
KALMAR,026720-99999
HOBURG,026800-99999
KILPISJARVI SAANA,027010-99999
HATTULA LEPAA AWS,027040-99999
PELKOSENNIEMI PYHATUNTURI,027050-99999
LOHJA PORLA,027060-99999
KITTILA POKKA,027170-99999
KITTILA,027200-99999
KOKKOLA TANKAR,027210-99999
INARI SAARISELKA,027220-99999
HALSUA KANALA PUROLA,027250-99999
ENONTEKIO NAKKALA,027260-99999
ASIKKALA PULKKILANHARJU,027270-99999
JOMALA JOMLABY,027410-99999
PORI TAHKOLUOTO HARBOUR,027510-99999
KRISTIINANKAUPUNKI LIGHTHOUSE,027520-99999
HAMEENLINNA KATINEN,027540-99999
YLIVIESKA AIRFIELD,027550-99999
SALO KARKKA,027560-99999
RAASEPORI JUSSARO,027570-99999
VIHTI MAASOJA,027580-99999
PORVOO HARABACKA,027590-99999
RAUMA KYLMAPIHLAJA,027610-99999
TAMPERE HARMALA,027630-99999
LUHANKA JUDINSALO,027650-99999
HAMEENLINNA LAMMI PAPPILA,027670-99999
HEINOLA ASEMANTAUS,027680-99999
KAUHAJOKI KUJA-KOKKO,027690-99999
JUUPAJOKI HYYTIALA,027700-99999
JOUTSA LEIVONMAKI SAVENAHO,027710-99999
RANTASALMI RUKKASLUOTO,027720-99999
TURKU ARTUKAINEN,027730-99999
