date,BTC,ETH,BTC Volume in USD,ETH Volume in USD
2016-01-19 04:00:00,380.12,,1531675.8822514294,
2016-01-20 04:00:00,418.17,,1319080.3338188278,
2016-01-21 04:00:00,402.06,,644859.763419195,
2016-01-22 04:00:00,404.99,,992307.0842594742,
2016-01-23 04:00:00,389.49,,87373.50582758497,
2016-01-24 04:00:00,397.58,,196081.41289330932,
2016-01-25 04:00:00,392.41,,540081.5014164763,
2016-01-26 04:00:00,392.7,,313788.29227094573,
2016-01-27 04:00:00,381.19,,265904.63065363787,
2016-01-28 04:00:00,369.7,,225063.692607487,
2016-01-29 04:00:00,378.63,,293838.5677272406,
2016-01-30 04:00:00,379.56,,90872.0779736214,
2016-01-31 04:00:00,374.22,,85124.2040621973,
2016-02-01 04:00:00,373.58,,343543.6641175375,
2016-02-02 04:00:00,372.5,,382890.71793055,
2016-02-03 04:00:00,371.52,,373271.7105473184,
2016-02-04 04:00:00,386.21,,649584.1168367672,
2016-02-05 04:00:00,379.68,,394067.9180300352,
2016-02-06 04:00:00,374.77,,104988.6085743715,
2016-02-07 04:00:00,376.57,,63777.96475905455,
2016-02-08 04:00:00,372.98,,361419.4936691328,
2016-02-09 04:00:00,374.0,,361149.880722818,
2016-02-10 04:00:00,380.42,,657187.7772237796,
2016-02-11 04:00:00,376.99,,362898.0927496324,
2016-02-12 04:00:00,384.99,,650466.5331178749,
2016-02-13 04:00:00,398.71,,308223.9394940195,
2016-02-14 04:00:00,405.22,,527640.7699860627,
2016-02-15 04:00:00,400.73,,245868.0216290529,
2016-02-16 04:00:00,407.05,,493284.6126385205,
2016-02-17 04:00:00,419.96,,578925.41789939,
2016-02-18 04:00:00,421.04,,766848.9558916648,
2016-02-19 04:00:00,420.9,,379380.6076111008,
2016-02-20 04:00:00,439.99,,427668.5877667808,
2016-02-21 04:00:00,436.21,,271050.3379500637,
2016-02-22 04:00:00,438.04,,483475.6602422208,
2016-02-23 04:00:00,418.86,,696899.7339901272,
2016-02-24 04:00:00,420.5,,405858.4823278155,
2016-02-25 04:00:00,420.01,,210287.06116504213,
2016-02-26 04:00:00,433.2,,451320.998132808,
2016-02-27 04:00:00,423.04,,161156.10708784513,
2016-02-28 04:00:00,434.0,,131048.239262164,
2016-02-29 04:00:00,434.86,,478525.32086560735,
2016-03-01 04:00:00,432.49,,353740.5212782137,
2016-03-02 04:00:00,418.65,,552313.661804763,
2016-03-03 04:00:00,419.65,,1125352.47490435,
2016-03-04 04:00:00,405.1,,1267305.326372336,
2016-03-05 04:00:00,378.71,,924862.4208837918,
2016-03-06 04:00:00,401.41,,47252.70284276888,
2016-03-07 04:00:00,413.48,,1043846.8287472808,
2016-03-08 04:00:00,410.3,,788336.742189964,
2016-03-09 04:00:00,411.01,,1122849.1947425632,
2016-03-10 04:00:00,414.95,,742341.8023417295,
2016-03-11 04:00:00,417.61,,678148.7209594173,
2016-03-12 04:00:00,409.26,,435483.0466142381,
2016-03-13 04:00:00,412.97,,680831.8827798348,
2016-03-14 04:00:00,414.99,,308078.24189329066,
2016-03-15 04:00:00,415.41,,540833.9759195372,
2016-03-16 04:00:00,416.99,,552231.0634102647,
2016-03-17 04:00:00,418.01,,378113.14651409857,
2016-03-18 04:00:00,408.17,,468517.9667780836,
